Participant,Age,Task #,Completed,Time (min),Procedure
1,55+,1,TRUE,3,Library Website -> Today's Hours -> Opening Hours Page
1,55+,2,FALSE,,Library Website -> Study Spaces (Tile) -> Study Spaces Page -> Go To Date -> Space x Time (Tile)
1,55+,3,FALSE,,Library Website -> Use the Library (Hover Menu) -> Textbooks -> Use the Library (Hover Menu) -> Textbooks -> One Search (Search Bar) -> Search -> Book Page
1,55+,4,TRUE,4,Library Website -> Use the Library (Hover Menu) -> Textbooks -> Use the Library (Hover Menu) -> Textbooks -> One Search (Search Bar) -> Search -> Book Page -> Scope (Dropdown) -> Books and Videos on the Library Shelves -> Search (Icon) -> Book -> Sign In -> Request Item -> Pick Up Location (Dropdown) -> Send Request
1,55+,5,TRUE,5,Library Website -> Use the Library (Hover Menu) -> Services for Students -> Request Info -> Return (Browser Icon) -> Ask a Librarian -> Contact Page -> Chat
1,55+,6,TRUE,3,Library Website -> One Search (Seach Bar) -> Search -> Book Page -> Databases -> Databases Page -> Academic Search Complete -> Academic Search (Icon)
2,55+,1,TRUE,5,Library Website -> Services for Students -> Use the Library (Hover Menu) -> About (Hover Menu) -> Visit the Library -> Use the Library (Hover Menu) -> Study Spaces -> Study Spaces Page -> About (Hover Menu) -> About the Library -> Hours -> Opening Hours Page
2,55+,2,TRUE,3,Library Website -> Services for Students -> Reserve a Study Space -> Study Rooms -> Study Spaces Page -> Next (Icon) -> Space x Time (Tile) -> End Time (Dropdown) -> Submit 
2,55+,3,FALSE,,"Library Website -> Use the Library (Hover Menu) -> Borrow Library Materials -> Use the Library (Hover Menu) -> Services for Students -> Interlibrary Loan -> Library ->
Library Website -> One Search (Search Bar) -> Search -> Book Page -> Personalize (Toggle)"
2,55+,4,FALSE,,Library Website -> One Search (Search Bar) -> Search -> Book Page
2,55+,5,TRUE,5,Library Website -> About (Hover Menu) -> Contact Us -> Contact Page -> Email
2,55+,6,TRUE,5,Library Website -> Research (Hover Menu) -> Databases A-Z -> Databases Page -> Academic Search Complete -> Academic Search (Icon)
